08:15:24 Grounding...
08:15:24 Grounding done (0.03s)
08:15:24 Solving...
08:15:24 Model found (0.10s): [-44, -140]
08:15:24 Model found (0.10s, +0.00s): [-44, -219]
08:15:24 Model found (0.10s, +0.00s): [-48, -220]
08:15:24 Model found (0.11s, +0.00s): [-56, -143]
08:15:24 Model found (0.11s, +0.00s): [-56, -144]
08:15:24 Model found (0.11s, +0.00s): [-56, -221]
08:15:24 Model found (0.11s, +0.00s): [-56, -222]
08:15:24 Model found (0.12s, +0.00s): [-56, -223]
08:15:24 Model found (0.12s, +0.00s): [-56, -224]
08:15:24 Model found (0.12s, +0.00s): [-56, -225]
08:15:24 Model found (0.13s, +0.01s): [-56, -226]
08:15:24 Model found (0.14s, +0.00s): [-56, -227]
08:15:24 Model found (0.14s, +0.00s): [-56, -228]
08:15:24 Model found (0.14s, +0.00s): [-56, -229]
08:15:24 Model found (0.15s, +0.00s): [-56, -230]
08:15:24 Model found (0.15s, +0.00s): [-56, -231]
08:15:24 Model found (0.15s, +0.00s): [-56, -232]
08:15:24 Model found (0.16s, +0.00s): [-56, -233]
08:15:24 Model found (0.16s, +0.00s): [-56, -236]
08:15:24 Model found (0.16s, +0.00s): [-56, -237]
08:15:24 Model found (0.17s, +0.00s): [-56, -238]
08:15:24 Model found (0.17s, +0.00s): [-56, -241]
08:15:24 Model found (0.17s, +0.00s): [-56, -246]
08:15:24 Model found (0.18s, +0.00s): [-56, -251]
08:15:24 Model found (0.18s, +0.00s): [-56, -252]
08:15:24 Model found (0.19s, +0.00s): [-56, -253]
08:15:24 Model found (0.19s, +0.00s): [-56, -254]
08:15:24 Model found (0.19s, +0.00s): [-56, -255]
08:15:24 Model found (0.20s, +0.00s): [-56, -258]
08:15:24 Model found (0.20s, +0.01s): [-56, -259]
08:15:24 Model found (0.21s, +0.00s): [-56, -260]
08:15:24 Model found (0.21s, +0.00s): [-56, -261]
08:15:24 Model found (0.21s, +0.00s): [-56, -262]
08:15:24 Model found (0.22s, +0.00s): [-56, -263]
08:15:24 Model found (0.22s, +0.00s): [-56, -264]
08:15:24 Model found (0.23s, +0.00s): [-56, -265]
08:15:24 Model found (0.23s, +0.00s): [-56, -268]
08:15:24 Model found (0.23s, +0.01s): [-56, -269]
08:15:24 Model found (0.24s, +0.00s): [-56, -271]
08:15:24 Model found (0.24s, +0.00s): [-56, -272]
08:15:24 Model found (0.25s, +0.00s): [-56, -278]
08:15:24 Model found (0.25s, +0.01s): [-56, -279]
08:15:24 Model found (0.26s, +0.00s): [-56, -281]
