09:41:55 Grounding...
09:41:55 Grounding done (0.05s)
09:41:55 Solving...
09:41:55 Model found (0.10s): [-28, -260]
09:41:55 Model found (0.11s, +0.01s): [-28, -261]
09:41:55 Model found (0.12s, +0.00s): [-28, -262]
09:41:55 Model found (0.12s, +0.00s): [-28, -263]
09:41:55 Model found (0.12s, +0.00s): [-28, -264]
09:41:55 Model found (0.12s, +0.00s): [-28, -265]
09:41:55 Model found (0.12s, +0.00s): [-28, -266]
09:41:55 Model found (0.12s, +0.00s): [-28, -267]
09:41:55 Model found (0.13s, +0.00s): [-28, -268]
09:41:55 Model found (0.13s, +0.00s): [-28, -269]
09:41:55 Model found (0.13s, +0.00s): [-28, -270]
09:41:55 Model found (0.13s, +0.00s): [-28, -271]
09:41:55 Model found (0.13s, +0.00s): [-28, -272]
09:41:55 Model found (0.14s, +0.00s): [-28, -273]
09:41:55 Model found (0.14s, +0.00s): [-28, -274]
09:41:55 Model found (0.14s, +0.00s): [-28, -275]
09:41:55 Model found (0.14s, +0.00s): [-28, -276]
09:41:55 Model found (0.14s, +0.00s): [-28, -277]
09:41:55 Model found (0.15s, +0.00s): [-28, -278]
09:41:55 Model found (0.15s, +0.00s): [-28, -279]
09:41:55 Model found (0.15s, +0.00s): [-28, -280]
09:41:55 Model found (0.17s, +0.01s): [-28, -281]
09:41:55 Model found (0.19s, +0.02s): [-28, -282]
09:41:55 Model found (0.21s, +0.03s): [-28, -283]
09:41:55 Model found (0.25s, +0.04s): [-28, -284]
09:41:55 Model found (0.27s, +0.02s): [-28, -285]
09:41:55 Model found (0.27s, +0.00s): [-28, -286]
09:41:55 Model found (0.27s, +0.00s): [-28, -287]
09:41:55 Model found (0.27s, +0.00s): [-28, -288]
09:41:55 Model found (0.27s, +0.00s): [-28, -289]
09:41:55 Model found (0.28s, +0.00s): [-28, -290]
09:41:55 Model found (0.28s, +0.00s): [-28, -291]
09:41:55 Model found (0.28s, +0.00s): [-28, -292]
09:41:55 Model found (0.28s, +0.00s): [-28, -293]
09:41:55 Model found (0.28s, +0.00s): [-28, -294]
09:41:55 Model found (0.28s, +0.00s): [-28, -295]
09:41:55 Model found (0.28s, +0.00s): [-28, -296]
09:41:55 Model found (0.28s, +0.00s): [-28, -297]
09:41:55 Model found (0.28s, +0.00s): [-28, -298]
09:41:55 Model found (0.29s, +0.00s): [-28, -299]
09:41:55 Model found (0.29s, +0.00s): [-28, -300]
09:41:55 Model found (0.29s, +0.00s): [-28, -301]
09:41:55 Model found (0.29s, +0.00s): [-28, -302]
09:41:55 Model found (0.29s, +0.00s): [-28, -303]
09:41:55 Model found (0.29s, +0.00s): [-28, -304]
09:41:55 Model found (0.30s, +0.01s): [-28, -305]
09:41:55 Model found (0.31s, +0.01s): [-28, -306]
09:41:55 Model found (0.31s, +0.00s): [-28, -307]
09:41:55 Model found (0.31s, +0.00s): [-28, -308]
09:41:55 Model found (0.31s, +0.00s): [-28, -309]
09:41:55 Model found (0.31s, +0.00s): [-28, -310]
09:41:55 Model found (0.31s, +0.00s): [-28, -311]
09:41:55 Model found (0.31s, +0.00s): [-28, -312]
09:41:55 Model found (0.31s, +0.00s): [-28, -313]
09:41:55 Model found (0.31s, +0.00s): [-28, -314]
09:41:55 Model found (0.31s, +0.00s): [-28, -315]
09:41:55 Model found (0.32s, +0.00s): [-28, -316]
09:41:55 Model found (0.32s, +0.00s): [-28, -317]
09:41:55 Model found (0.32s, +0.00s): [-28, -318]
09:41:55 Model found (0.32s, +0.00s): [-28, -319]
09:41:55 Model found (0.35s, +0.03s): [-28, -320]
09:41:55 Model found (0.35s, +0.00s): [-28, -321]
09:41:55 Model found (0.35s, +0.00s): [-28, -322]
09:41:55 Model found (0.35s, +0.00s): [-28, -323]
09:41:55 Model found (0.35s, +0.00s): [-28, -324]
09:41:55 Model found (0.38s, +0.03s): [-28, -325]
09:41:55 Model found (0.39s, +0.01s): [-28, -326]
09:41:55 Model found (0.39s, +0.00s): [-28, -327]
09:41:55 Model found (0.39s, +0.00s): [-28, -328]
09:41:55 Model found (0.40s, +0.00s): [-28, -329]
09:41:55 Model found (0.40s, +0.00s): [-28, -330]
09:41:55 Model found (0.40s, +0.00s): [-28, -331]
09:41:55 Model found (0.40s, +0.00s): [-28, -332]
09:41:55 Model found (0.40s, +0.00s): [-28, -333]
09:41:55 Model found (0.40s, +0.00s): [-28, -334]
09:41:55 Model found (0.41s, +0.00s): [-28, -335]
09:41:55 Model found (0.41s, +0.00s): [-32, -262]
09:41:55 Model found (0.42s, +0.01s): [-32, -263]
09:41:55 Model found (0.42s, +0.00s): [-32, -264]
09:41:55 Model found (0.42s, +0.00s): [-32, -265]
09:41:55 Model found (0.42s, +0.00s): [-32, -266]
09:41:55 Model found (0.42s, +0.00s): [-32, -267]
09:41:55 Model found (0.43s, +0.00s): [-32, -268]
09:41:55 Model found (0.43s, +0.00s): [-32, -269]
09:41:55 Model found (0.43s, +0.00s): [-32, -270]
09:41:55 Model found (0.44s, +0.00s): [-32, -271]
09:41:55 Model found (0.44s, +0.00s): [-32, -272]
09:41:55 Model found (0.44s, +0.00s): [-32, -273]
09:41:55 Model found (0.44s, +0.00s): [-32, -274]
09:41:55 Model found (0.44s, +0.00s): [-32, -275]
09:41:55 Model found (0.45s, +0.01s): [-32, -276]
